run,total_flights,newly_infected,total_infected
1,192,13,119
2,53,0,50
3,285,22,148
4,137,8,111
5,197,13,125
6,150,9,99
7,103,5,81
8,54,0,52
9,59,0,61
10,57,0,56
11,56,0,55
12,56,0,57
13,249,18,141
14,220,16,129
15,248,18,133
16,83,3,76
17,220,16,136
18,95,4,79
19,59,0,56
20,58,0,51
21,56,0,57
22,55,0,54
23,85,3,73
24,58,0,53
25,57,0,57
26,57,0,59
27,54,0,56
28,56,0,55
29,56,0,58
30,57,0,57
31,54,0,51
32,56,0,53
33,262,19,138
34,56,0,54
35,179,12,124
36,104,5,91
37,55,0,50
38,57,0,53
39,54,0,56
40,58,0,55
41,57,0,57
42,57,0,54
43,56,0,52
44,57,0,60
45,57,0,54
46,56,0,56
47,57,0,49
48,56,0,55
49,108,5,84
50,84,3,70
51,55,0,53
52,55,0,55
53,56,0,48
54,215,16,135
55,58,0,52
56,55,0,55
57,59,0,60
58,230,18,133
59,58,0,53
60,55,0,52
61,252,19,140
62,55,0,54
63,56,0,53
64,55,0,54
65,56,0,60
66,58,0,56
67,208,14,131
68,136,8,104
69,184,12,125
70,55,0,52
71,57,0,54
72,273,21,142
73,253,19,145
74,212,15,130
75,216,16,140
76,57,0,56
77,85,3,74
78,58,0,57
79,89,4,80
80,219,15,131
81,92,4,79
82,294,23,147
83,54,0,55
84,55,0,52
85,266,20,136
86,54,0,49
87,58,0,57
88,102,4,87
89,130,7,96
90,54,0,49
91,251,18,143
92,251,19,136
93,58,0,57
94,56,0,53
95,57,0,56
96,219,15,131
97,55,0,54
98,54,0,55
99,102,5,82
100,188,13,127
